jra_race_id,netkeiba_race_id,race_date,course,race_no,mapping_status,mapping_note
202401060801,202408010101,2024-01-06,kyoto,1,mapped,calendar course=kyoto meeting=1 day=1
202401060802,202408010102,2024-01-06,kyoto,2,mapped,calendar course=kyoto meeting=1 day=1
202401060803,202408010103,2024-01-06,kyoto,3,mapped,calendar course=kyoto meeting=1 day=1
202401060804,202408010104,2024-01-06,kyoto,4,mapped,calendar course=kyoto meeting=1 day=1
202401060805,202408010105,2024-01-06,kyoto,5,mapped,calendar course=kyoto meeting=1 day=1
202401060806,202408010106,2024-01-06,kyoto,6,mapped,calendar course=kyoto meeting=1 day=1
202401060807,202408010107,2024-01-06,kyoto,7,mapped,calendar course=kyoto meeting=1 day=1
202401060808,202408010108,2024-01-06,kyoto,8,mapped,calendar course=kyoto meeting=1 day=1
202401060809,202408010109,2024-01-06,kyoto,9,mapped,calendar course=kyoto meeting=1 day=1
202401060810,202408010110,2024-01-06,kyoto,10,mapped,calendar course=kyoto meeting=1 day=1
202401060811,202408010111,2024-01-06,kyoto,11,mapped,calendar course=kyoto meeting=1 day=1
202401060812,202408010112,2024-01-06,kyoto,12,mapped,calendar course=kyoto meeting=1 day=1
202401060601,202406010101,2024-01-06,nakayama,1,mapped,calendar course=nakayama meeting=1 day=1
202401060602,202406010102,2024-01-06,nakayama,2,mapped,calendar course=nakayama meeting=1 day=1
202401060603,202406010103,2024-01-06,nakayama,3,mapped,calendar course=nakayama meeting=1 day=1
202401060604,202406010104,2024-01-06,nakayama,4,mapped,calendar course=nakayama meeting=1 day=1
202401060605,202406010105,2024-01-06,nakayama,5,mapped,calendar course=nakayama meeting=1 day=1
202401060606,202406010106,2024-01-06,nakayama,6,mapped,calendar course=nakayama meeting=1 day=1
202401060607,202406010107,2024-01-06,nakayama,7,mapped,calendar course=nakayama meeting=1 day=1
202401060608,202406010108,2024-01-06,nakayama,8,mapped,calendar course=nakayama meeting=1 day=1
202401060609,202406010109,2024-01-06,nakayama,9,mapped,calendar course=nakayama meeting=1 day=1
202401060610,202406010110,2024-01-06,nakayama,10,mapped,calendar course=nakayama meeting=1 day=1
202401060611,202406010111,2024-01-06,nakayama,11,mapped,calendar course=nakayama meeting=1 day=1
202401060612,202406010112,2024-01-06,nakayama,12,mapped,calendar course=nakayama meeting=1 day=1
