jra_race_id,netkeiba_race_id,race_date,course,race_no,mapping_status,mapping_note
202403090701,202407010101,2024-03-09,chukyo,1,mapped,calendar course=chukyo meeting=1 day=1
202403090702,202407010102,2024-03-09,chukyo,2,mapped,calendar course=chukyo meeting=1 day=1
202403090703,202407010103,2024-03-09,chukyo,3,mapped,calendar course=chukyo meeting=1 day=1
202403090704,202407010104,2024-03-09,chukyo,4,mapped,calendar course=chukyo meeting=1 day=1
202403090705,202407010105,2024-03-09,chukyo,5,mapped,calendar course=chukyo meeting=1 day=1
202403090706,202407010106,2024-03-09,chukyo,6,mapped,calendar course=chukyo meeting=1 day=1
202403090707,202407010107,2024-03-09,chukyo,7,mapped,calendar course=chukyo meeting=1 day=1
202403090708,202407010108,2024-03-09,chukyo,8,mapped,calendar course=chukyo meeting=1 day=1
202403090709,202407010109,2024-03-09,chukyo,9,mapped,calendar course=chukyo meeting=1 day=1
202403090710,202407010110,2024-03-09,chukyo,10,mapped,calendar course=chukyo meeting=1 day=1
202403090711,202407010111,2024-03-09,chukyo,11,mapped,calendar course=chukyo meeting=1 day=1
202403090712,202407010112,2024-03-09,chukyo,12,mapped,calendar course=chukyo meeting=1 day=1
202403100701,202407010201,2024-03-10,chukyo,1,mapped,calendar course=chukyo meeting=1 day=2
202403100702,202407010202,2024-03-10,chukyo,2,mapped,calendar course=chukyo meeting=1 day=2
202403100703,202407010203,2024-03-10,chukyo,3,mapped,calendar course=chukyo meeting=1 day=2
202403100704,202407010204,2024-03-10,chukyo,4,mapped,calendar course=chukyo meeting=1 day=2
202403100705,202407010205,2024-03-10,chukyo,5,mapped,calendar course=chukyo meeting=1 day=2
202403100706,202407010206,2024-03-10,chukyo,6,mapped,calendar course=chukyo meeting=1 day=2
202403100707,202407010207,2024-03-10,chukyo,7,mapped,calendar course=chukyo meeting=1 day=2
202403100708,202407010208,2024-03-10,chukyo,8,mapped,calendar course=chukyo meeting=1 day=2
202403100709,202407010209,2024-03-10,chukyo,9,mapped,calendar course=chukyo meeting=1 day=2
202403100710,202407010210,2024-03-10,chukyo,10,mapped,calendar course=chukyo meeting=1 day=2
202403100711,202407010211,2024-03-10,chukyo,11,mapped,calendar course=chukyo meeting=1 day=2
202403100712,202407010212,2024-03-10,chukyo,12,mapped,calendar course=chukyo meeting=1 day=2
