jra_race_id,netkeiba_race_id,race_date,course,race_no,mapping_status,mapping_note
202403020901,202409010301,2024-03-02,hanshin,1,mapped,calendar course=hanshin meeting=1 day=3
202403020902,202409010302,2024-03-02,hanshin,2,mapped,calendar course=hanshin meeting=1 day=3
202403020903,202409010303,2024-03-02,hanshin,3,mapped,calendar course=hanshin meeting=1 day=3
202403020904,202409010304,2024-03-02,hanshin,4,mapped,calendar course=hanshin meeting=1 day=3
202403020905,202409010305,2024-03-02,hanshin,5,mapped,calendar course=hanshin meeting=1 day=3
202403020906,202409010306,2024-03-02,hanshin,6,mapped,calendar course=hanshin meeting=1 day=3
202403020907,202409010307,2024-03-02,hanshin,7,mapped,calendar course=hanshin meeting=1 day=3
202403020908,202409010308,2024-03-02,hanshin,8,mapped,calendar course=hanshin meeting=1 day=3
202403020909,202409010309,2024-03-02,hanshin,9,mapped,calendar course=hanshin meeting=1 day=3
202403020910,202409010310,2024-03-02,hanshin,10,mapped,calendar course=hanshin meeting=1 day=3
202403020911,202409010311,2024-03-02,hanshin,11,mapped,calendar course=hanshin meeting=1 day=3
202403020912,202409010312,2024-03-02,hanshin,12,mapped,calendar course=hanshin meeting=1 day=3
202403021001,202410020501,2024-03-02,kokura,1,mapped,calendar course=kokura meeting=2 day=5
202403021002,202410020502,2024-03-02,kokura,2,mapped,calendar course=kokura meeting=2 day=5
202403021003,202410020503,2024-03-02,kokura,3,mapped,calendar course=kokura meeting=2 day=5
202403021004,202410020504,2024-03-02,kokura,4,mapped,calendar course=kokura meeting=2 day=5
202403021005,202410020505,2024-03-02,kokura,5,mapped,calendar course=kokura meeting=2 day=5
202403021006,202410020506,2024-03-02,kokura,6,mapped,calendar course=kokura meeting=2 day=5
202403021007,202410020507,2024-03-02,kokura,7,mapped,calendar course=kokura meeting=2 day=5
202403021008,202410020508,2024-03-02,kokura,8,mapped,calendar course=kokura meeting=2 day=5
202403021009,202410020509,2024-03-02,kokura,9,mapped,calendar course=kokura meeting=2 day=5
