jra_race_id,netkeiba_race_id,race_date,course,race_no,mapping_status,mapping_note
202406290301,202403020101,2024-06-29,fukushima,1,mapped,calendar course=fukushima meeting=2 day=1
202406290302,202403020102,2024-06-29,fukushima,2,mapped,calendar course=fukushima meeting=2 day=1
202406290303,202403020103,2024-06-29,fukushima,3,mapped,calendar course=fukushima meeting=2 day=1
202406290304,202403020104,2024-06-29,fukushima,4,mapped,calendar course=fukushima meeting=2 day=1
202406290305,202403020105,2024-06-29,fukushima,5,mapped,calendar course=fukushima meeting=2 day=1
202406290306,202403020106,2024-06-29,fukushima,6,mapped,calendar course=fukushima meeting=2 day=1
202406290307,202403020107,2024-06-29,fukushima,7,mapped,calendar course=fukushima meeting=2 day=1
202406290308,202403020108,2024-06-29,fukushima,8,mapped,calendar course=fukushima meeting=2 day=1
202406290309,202403020109,2024-06-29,fukushima,9,mapped,calendar course=fukushima meeting=2 day=1
202406290310,202403020110,2024-06-29,fukushima,10,mapped,calendar course=fukushima meeting=2 day=1
202406290311,202403020111,2024-06-29,fukushima,11,mapped,calendar course=fukushima meeting=2 day=1
202406290312,202403020112,2024-06-29,fukushima,12,mapped,calendar course=fukushima meeting=2 day=1
202406290201,202402010701,2024-06-29,hakodate,1,mapped,calendar course=hakodate meeting=1 day=7
202406290202,202402010702,2024-06-29,hakodate,2,mapped,calendar course=hakodate meeting=1 day=7
202406290203,202402010703,2024-06-29,hakodate,3,mapped,calendar course=hakodate meeting=1 day=7
202406290204,202402010704,2024-06-29,hakodate,4,mapped,calendar course=hakodate meeting=1 day=7
202406290205,202402010705,2024-06-29,hakodate,5,mapped,calendar course=hakodate meeting=1 day=7
202406290206,202402010706,2024-06-29,hakodate,6,mapped,calendar course=hakodate meeting=1 day=7
202406290207,202402010707,2024-06-29,hakodate,7,mapped,calendar course=hakodate meeting=1 day=7
202406290208,202402010708,2024-06-29,hakodate,8,mapped,calendar course=hakodate meeting=1 day=7
202406290209,202402010709,2024-06-29,hakodate,9,mapped,calendar course=hakodate meeting=1 day=7
202406290210,202402010710,2024-06-29,hakodate,10,mapped,calendar course=hakodate meeting=1 day=7
202406290211,202402010711,2024-06-29,hakodate,11,mapped,calendar course=hakodate meeting=1 day=7
202406290212,202402010712,2024-06-29,hakodate,12,mapped,calendar course=hakodate meeting=1 day=7
202406291001,202410030101,2024-06-29,kokura,1,mapped,calendar course=kokura meeting=3 day=1
202406291002,202410030102,2024-06-29,kokura,2,mapped,calendar course=kokura meeting=3 day=1
202406291003,202410030103,2024-06-29,kokura,3,mapped,calendar course=kokura meeting=3 day=1
202406291004,202410030104,2024-06-29,kokura,4,mapped,calendar course=kokura meeting=3 day=1
202406291005,202410030105,2024-06-29,kokura,5,mapped,calendar course=kokura meeting=3 day=1
202406291006,202410030106,2024-06-29,kokura,6,mapped,calendar course=kokura meeting=3 day=1
202406291007,202410030107,2024-06-29,kokura,7,mapped,calendar course=kokura meeting=3 day=1
202406291008,202410030108,2024-06-29,kokura,8,mapped,calendar course=kokura meeting=3 day=1
202406291009,202410030109,2024-06-29,kokura,9,mapped,calendar course=kokura meeting=3 day=1
202406291010,202410030110,2024-06-29,kokura,10,mapped,calendar course=kokura meeting=3 day=1
202406291011,202410030111,2024-06-29,kokura,11,mapped,calendar course=kokura meeting=3 day=1
202406291012,202410030112,2024-06-29,kokura,12,mapped,calendar course=kokura meeting=3 day=1
202406300301,202403020201,2024-06-30,fukushima,1,mapped,calendar course=fukushima meeting=2 day=2
202406300302,202403020202,2024-06-30,fukushima,2,mapped,calendar course=fukushima meeting=2 day=2
202406300303,202403020203,2024-06-30,fukushima,3,mapped,calendar course=fukushima meeting=2 day=2
202406300304,202403020204,2024-06-30,fukushima,4,mapped,calendar course=fukushima meeting=2 day=2
202406300305,202403020205,2024-06-30,fukushima,5,mapped,calendar course=fukushima meeting=2 day=2
202406300306,202403020206,2024-06-30,fukushima,6,mapped,calendar course=fukushima meeting=2 day=2
202406300307,202403020207,2024-06-30,fukushima,7,mapped,calendar course=fukushima meeting=2 day=2
202406300308,202403020208,2024-06-30,fukushima,8,mapped,calendar course=fukushima meeting=2 day=2
202406300309,202403020209,2024-06-30,fukushima,9,mapped,calendar course=fukushima meeting=2 day=2
202406300310,202403020210,2024-06-30,fukushima,10,mapped,calendar course=fukushima meeting=2 day=2
202406300311,202403020211,2024-06-30,fukushima,11,mapped,calendar course=fukushima meeting=2 day=2
202406300312,202403020212,2024-06-30,fukushima,12,mapped,calendar course=fukushima meeting=2 day=2
202406300201,202402010801,2024-06-30,hakodate,1,mapped,calendar course=hakodate meeting=1 day=8
202406300202,202402010802,2024-06-30,hakodate,2,mapped,calendar course=hakodate meeting=1 day=8
202406300203,202402010803,2024-06-30,hakodate,3,mapped,calendar course=hakodate meeting=1 day=8
202406300204,202402010804,2024-06-30,hakodate,4,mapped,calendar course=hakodate meeting=1 day=8
202406300205,202402010805,2024-06-30,hakodate,5,mapped,calendar course=hakodate meeting=1 day=8
202406300206,202402010806,2024-06-30,hakodate,6,mapped,calendar course=hakodate meeting=1 day=8
202406300207,202402010807,2024-06-30,hakodate,7,mapped,calendar course=hakodate meeting=1 day=8
202406300208,202402010808,2024-06-30,hakodate,8,mapped,calendar course=hakodate meeting=1 day=8
202406300209,202402010809,2024-06-30,hakodate,9,mapped,calendar course=hakodate meeting=1 day=8
202406300210,202402010810,2024-06-30,hakodate,10,mapped,calendar course=hakodate meeting=1 day=8
202406300211,202402010811,2024-06-30,hakodate,11,mapped,calendar course=hakodate meeting=1 day=8
202406300212,202402010812,2024-06-30,hakodate,12,mapped,calendar course=hakodate meeting=1 day=8
202406301001,202410030201,2024-06-30,kokura,1,mapped,calendar course=kokura meeting=3 day=2
202406301002,202410030202,2024-06-30,kokura,2,mapped,calendar course=kokura meeting=3 day=2
202406301003,202410030203,2024-06-30,kokura,3,mapped,calendar course=kokura meeting=3 day=2
202406301004,202410030204,2024-06-30,kokura,4,mapped,calendar course=kokura meeting=3 day=2
202406301005,202410030205,2024-06-30,kokura,5,mapped,calendar course=kokura meeting=3 day=2
202406301006,202410030206,2024-06-30,kokura,6,mapped,calendar course=kokura meeting=3 day=2
202406301007,202410030207,2024-06-30,kokura,7,mapped,calendar course=kokura meeting=3 day=2
202406301008,202410030208,2024-06-30,kokura,8,mapped,calendar course=kokura meeting=3 day=2
202406301009,202410030209,2024-06-30,kokura,9,mapped,calendar course=kokura meeting=3 day=2
202406301010,202410030210,2024-06-30,kokura,10,mapped,calendar course=kokura meeting=3 day=2
202406301011,202410030211,2024-06-30,kokura,11,mapped,calendar course=kokura meeting=3 day=2
202406301012,202410030212,2024-06-30,kokura,12,mapped,calendar course=kokura meeting=3 day=2
