jra_race_id,netkeiba_race_id,race_date,course,race_no,mapping_status,mapping_note
202402101001,202410020101,2024-02-10,kokura,1,mapped,calendar course=kokura meeting=2 day=1
202402101002,202410020102,2024-02-10,kokura,2,mapped,calendar course=kokura meeting=2 day=1
202402101003,202410020103,2024-02-10,kokura,3,mapped,calendar course=kokura meeting=2 day=1
202402101004,202410020104,2024-02-10,kokura,4,mapped,calendar course=kokura meeting=2 day=1
202402101005,202410020105,2024-02-10,kokura,5,mapped,calendar course=kokura meeting=2 day=1
202402101006,202410020106,2024-02-10,kokura,6,mapped,calendar course=kokura meeting=2 day=1
202402101007,202410020107,2024-02-10,kokura,7,mapped,calendar course=kokura meeting=2 day=1
202402101008,202410020108,2024-02-10,kokura,8,mapped,calendar course=kokura meeting=2 day=1
202402101009,202410020109,2024-02-10,kokura,9,mapped,calendar course=kokura meeting=2 day=1
202402101010,202410020110,2024-02-10,kokura,10,mapped,calendar course=kokura meeting=2 day=1
202402101011,202410020111,2024-02-10,kokura,11,mapped,calendar course=kokura meeting=2 day=1
202402101012,202410020112,2024-02-10,kokura,12,mapped,calendar course=kokura meeting=2 day=1
202402111001,202410020201,2024-02-11,kokura,1,mapped,calendar course=kokura meeting=2 day=2
202402111002,202410020202,2024-02-11,kokura,2,mapped,calendar course=kokura meeting=2 day=2
202402111003,202410020203,2024-02-11,kokura,3,mapped,calendar course=kokura meeting=2 day=2
202402111004,202410020204,2024-02-11,kokura,4,mapped,calendar course=kokura meeting=2 day=2
202402111005,202410020205,2024-02-11,kokura,5,mapped,calendar course=kokura meeting=2 day=2
202402111006,202410020206,2024-02-11,kokura,6,mapped,calendar course=kokura meeting=2 day=2
202402111007,202410020207,2024-02-11,kokura,7,mapped,calendar course=kokura meeting=2 day=2
202402111008,202410020208,2024-02-11,kokura,8,mapped,calendar course=kokura meeting=2 day=2
202402111009,202410020209,2024-02-11,kokura,9,mapped,calendar course=kokura meeting=2 day=2
202402111010,202410020210,2024-02-11,kokura,10,mapped,calendar course=kokura meeting=2 day=2
202402111011,202410020211,2024-02-11,kokura,11,mapped,calendar course=kokura meeting=2 day=2
202402111012,202410020212,2024-02-11,kokura,12,mapped,calendar course=kokura meeting=2 day=2
202402171001,202410020301,2024-02-17,kokura,1,mapped,calendar course=kokura meeting=2 day=3
202402171002,202410020302,2024-02-17,kokura,2,mapped,calendar course=kokura meeting=2 day=3
202402171003,202410020303,2024-02-17,kokura,3,mapped,calendar course=kokura meeting=2 day=3
202402171004,202410020304,2024-02-17,kokura,4,mapped,calendar course=kokura meeting=2 day=3
202402171005,202410020305,2024-02-17,kokura,5,mapped,calendar course=kokura meeting=2 day=3
202402171006,202410020306,2024-02-17,kokura,6,mapped,calendar course=kokura meeting=2 day=3
202402171007,202410020307,2024-02-17,kokura,7,mapped,calendar course=kokura meeting=2 day=3
202402171008,202410020308,2024-02-17,kokura,8,mapped,calendar course=kokura meeting=2 day=3
202402171009,202410020309,2024-02-17,kokura,9,mapped,calendar course=kokura meeting=2 day=3
202402171010,202410020310,2024-02-17,kokura,10,mapped,calendar course=kokura meeting=2 day=3
202402171011,202410020311,2024-02-17,kokura,11,mapped,calendar course=kokura meeting=2 day=3
202402171012,202410020312,2024-02-17,kokura,12,mapped,calendar course=kokura meeting=2 day=3
202402181001,202410020401,2024-02-18,kokura,1,mapped,calendar course=kokura meeting=2 day=4
202402181002,202410020402,2024-02-18,kokura,2,mapped,calendar course=kokura meeting=2 day=4
202402181003,202410020403,2024-02-18,kokura,3,mapped,calendar course=kokura meeting=2 day=4
202402181004,202410020404,2024-02-18,kokura,4,mapped,calendar course=kokura meeting=2 day=4
202402181005,202410020405,2024-02-18,kokura,5,mapped,calendar course=kokura meeting=2 day=4
202402181006,202410020406,2024-02-18,kokura,6,mapped,calendar course=kokura meeting=2 day=4
202402181007,202410020407,2024-02-18,kokura,7,mapped,calendar course=kokura meeting=2 day=4
202402181008,202410020408,2024-02-18,kokura,8,mapped,calendar course=kokura meeting=2 day=4
202402181009,202410020409,2024-02-18,kokura,9,mapped,calendar course=kokura meeting=2 day=4
202402181010,202410020410,2024-02-18,kokura,10,mapped,calendar course=kokura meeting=2 day=4
202402181011,202410020411,2024-02-18,kokura,11,mapped,calendar course=kokura meeting=2 day=4
202402181012,202410020412,2024-02-18,kokura,12,mapped,calendar course=kokura meeting=2 day=4
202402241001,202410020501,2024-02-24,kokura,1,mapped,calendar course=kokura meeting=2 day=5
202402241002,202410020502,2024-02-24,kokura,2,mapped,calendar course=kokura meeting=2 day=5
202402241003,202410020503,2024-02-24,kokura,3,mapped,calendar course=kokura meeting=2 day=5
202402241004,202410020504,2024-02-24,kokura,4,mapped,calendar course=kokura meeting=2 day=5
202402241005,202410020505,2024-02-24,kokura,5,mapped,calendar course=kokura meeting=2 day=5
202402241006,202410020506,2024-02-24,kokura,6,mapped,calendar course=kokura meeting=2 day=5
202402241007,202410020507,2024-02-24,kokura,7,mapped,calendar course=kokura meeting=2 day=5
202402241008,202410020508,2024-02-24,kokura,8,mapped,calendar course=kokura meeting=2 day=5
202402241009,202410020509,2024-02-24,kokura,9,mapped,calendar course=kokura meeting=2 day=5
202402241010,202410020510,2024-02-24,kokura,10,mapped,calendar course=kokura meeting=2 day=5
202402241011,202410020511,2024-02-24,kokura,11,mapped,calendar course=kokura meeting=2 day=5
202402241012,202410020512,2024-02-24,kokura,12,mapped,calendar course=kokura meeting=2 day=5
202402251001,202410020601,2024-02-25,kokura,1,mapped,calendar course=kokura meeting=2 day=6
202402251002,202410020602,2024-02-25,kokura,2,mapped,calendar course=kokura meeting=2 day=6
202402251003,202410020603,2024-02-25,kokura,3,mapped,calendar course=kokura meeting=2 day=6
202402251004,202410020604,2024-02-25,kokura,4,mapped,calendar course=kokura meeting=2 day=6
202402251005,202410020605,2024-02-25,kokura,5,mapped,calendar course=kokura meeting=2 day=6
202402251006,202410020606,2024-02-25,kokura,6,mapped,calendar course=kokura meeting=2 day=6
202402251007,202410020607,2024-02-25,kokura,7,mapped,calendar course=kokura meeting=2 day=6
202402251008,202410020608,2024-02-25,kokura,8,mapped,calendar course=kokura meeting=2 day=6
202402251009,202410020609,2024-02-25,kokura,9,mapped,calendar course=kokura meeting=2 day=6
202402251010,202410020610,2024-02-25,kokura,10,mapped,calendar course=kokura meeting=2 day=6
202402251011,202410020611,2024-02-25,kokura,11,mapped,calendar course=kokura meeting=2 day=6
202402251012,202410020612,2024-02-25,kokura,12,mapped,calendar course=kokura meeting=2 day=6
202403021001,202410020701,2024-03-02,kokura,1,mapped,calendar course=kokura meeting=2 day=7
202403021002,202410020702,2024-03-02,kokura,2,mapped,calendar course=kokura meeting=2 day=7
202403021003,202410020703,2024-03-02,kokura,3,mapped,calendar course=kokura meeting=2 day=7
202403021004,202410020704,2024-03-02,kokura,4,mapped,calendar course=kokura meeting=2 day=7
202403021005,202410020705,2024-03-02,kokura,5,mapped,calendar course=kokura meeting=2 day=7
202403021006,202410020706,2024-03-02,kokura,6,mapped,calendar course=kokura meeting=2 day=7
202403021007,202410020707,2024-03-02,kokura,7,mapped,calendar course=kokura meeting=2 day=7
202403021008,202410020708,2024-03-02,kokura,8,mapped,calendar course=kokura meeting=2 day=7
202403021009,202410020709,2024-03-02,kokura,9,mapped,calendar course=kokura meeting=2 day=7
202403021010,202410020710,2024-03-02,kokura,10,mapped,calendar course=kokura meeting=2 day=7
202403021011,202410020711,2024-03-02,kokura,11,mapped,calendar course=kokura meeting=2 day=7
